date,year,doy,latitude,longitude,LST,pixel_id,x,y
2023-12-13,2023,347,-3.0671738433032067,-55.05742723159216,296.59467,715893_9660785,715893.5363131408,9660785.99953645
2023-12-13,2023,347,-3.067137559383314,-55.03763978623729,296.65292,718093_9660785,718093.5363131408,9660785.99953645
2023-12-13,2023,347,-3.067100908319921,-55.017852577264655,296.02332,720293_9660785,720293.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0670638901348806,-54.99806560705396,295.99716,722493_9660785,722493.5363131408,9660785.99953645
2023-12-13,2023,347,-3.067026504850266,-54.97827887798476,296.4764,724693_9660785,724693.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0669887524883666,-54.958492392436504,296.3466,726893_9660785,726893.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0669506330716927,-54.938706152788455,296.29364,729093_9660785,729093.5363131408,9660785.99953645
2023-12-13,2023,347,-3.06691214662297,-54.91892016141974,296.5757,731293_9660785,731293.5363131408,9660785.99953645
2023-12-13,2023,347,-3.066873293165145,-54.89913442070935,296.0997,733493_9660785,733493.5363131408,9660785.99953645
2023-12-13,2023,347,-3.066834072721379,-54.87934893303611,296.4393,735693_9660785,735693.5363131408,9660785.99953645
2023-12-13,2023,347,-3.066794485315055,-54.859563700778686,296.67596,737893_9660785,737893.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0667545309697712,-54.83977872631562,296.18942,740093_9660785,740093.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0667142097093447,-54.81999401202526,296.06372,742293_9660785,742293.5363131408,9660785.99953645
2023-12-13,2023,347,-3.066673521557812,-54.800209560285836,296.28348,744493_9660785,744493.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0522355367538836,-55.097029301797456,296.9236,711493_9662445,711493.5363131408,9662445.99953645
2023-12-13,2023,347,-3.052200161467043,-55.077241665751686,296.56958,713693_9662445,713693.5363131408,9662445.99953645
2023-12-13,2023,347,-3.0521644207937646,-55.057454261312316,296.5707,715893_9662445,715893.5363131408,9662445.99953645
2023-12-13,2023,347,-3.052128314755361,-55.03766709085917,296.6339,718093_9662445,718093.5363131408,9662445.99953645
2023-12-13,2023,347,-3.0520918433733617,-55.01788015677195,295.71027,720293_9662445,720293.5363131408,9662445.99953645
2023-12-13,2023,347,-3.052055006669513,-54.998093461430194,295.9827,722493_9662445,722493.5363131408,9662445.99953645
2023-12-13,2023,347,-3.052017804665778,-54.97830700721331,295.88504,724693_9662445,724693.5363131408,9662445.99953645
2023-12-13,2023,347,-3.051980237384339,-54.95852079650055,295.82126,726893_9662445,726893.5363131408,9662445.99953645
2023-12-13,2023,347,-3.0519423048475933,-54.93873483167104,296.0956,729093_9662445,729093.5363131408,9662445.99953645
2023-12-13,2023,347,-3.0519040070781553,-54.91894911510374,295.90872,731293_9662445,731293.5363131408,9662445.99953645
2023-12-13,2023,347,-3.0518653440988595,-54.89916364917747,296.1187,733493_9662445,733493.5363131408,9662445.99953645
2023-12-13,2023,347,-3.051826315932752,-54.87937843627089,296.4573,735693_9662445,735693.5363131408,9662445.99953645
2023-12-13,2023,347,-3.0517471641333906,-54.839808779030704,296.0973,740093_9662445,740093.5363131408,9662445.99953645
2023-12-13,2023,347,-3.051707040547319,-54.82002433945367,296.1438,742293_9662445,742293.5363131408,9662445.99953645
